point label,Fx,Fy,Fz
A0201,-397916.6666666667,0.0,-321481.875
A0304,-397916.6666666667,0.0,-321481.875
A0005,-397916.6666666667,0.0,-321481.875
A0001,-397916.6666666667,0.0,-321481.875
A0302,-397916.6666666667,0.0,-321481.875
A0301,-397916.6666666667,0.0,-321481.875
A0105,-397916.6666666667,0.0,-321481.875
A0003,-397916.6666666667,0.0,-321481.875
A0002,-397916.6666666667,0.0,-321481.875
A0306,-397916.6666666667,0.0,-321481.875
A0006,-397916.6666666667,0.0,-321481.875
A0205,-397916.6666666667,0.0,-321481.875
A0103,-397916.6666666667,0.0,-321481.875
A0104,-397916.6666666667,0.0,-321481.875
A0206,-397916.6666666667,0.0,-321481.875
A0202,-397916.6666666667,0.0,-321481.875
A0305,-397916.6666666667,0.0,-321481.875
A0101,-397916.6666666667,0.0,-321481.875
A0203,-397916.6666666667,0.0,-321481.875
A0102,-397916.6666666667,0.0,-321481.875
A0004,-397916.6666666667,0.0,-321481.875
A0204,-397916.6666666667,0.0,-321481.875
A0303,-397916.6666666667,0.0,-321481.875
A0106,-397916.6666666667,0.0,-321481.875
A0000,0.0,0.0,-91968.75
B0000,0.0,0.0,-91968.75
A0100,0.0,0.0,-91968.75
B0100,0.0,0.0,-91968.75
A0200,0.0,0.0,-91968.75
B0200,0.0,0.0,-91968.75
A0300,0.0,0.0,-91968.75
B0300,0.0,0.0,-91968.75
B0002,-31931.25,0.0,-426637.5
B0102,-31931.25,0.0,-426637.5
B0202,-31931.25,0.0,-426637.5
B0302,-31931.25,0.0,-426637.5
B0003,-31931.25,0.0,-426637.5
B0103,-31931.25,0.0,-426637.5
B0203,-31931.25,0.0,-426637.5
B0303,-31931.25,0.0,-426637.5
B0005,-31931.25,0.0,-426637.5
B0105,-31931.25,0.0,-426637.5
B0205,-31931.25,0.0,-426637.5
B0305,-31931.25,0.0,-426637.5
B0006,-31931.25,0.0,-426637.5
B0106,-31931.25,0.0,-426637.5
B0206,-31931.25,0.0,-426637.5
B0306,-31931.25,0.0,-426637.5
