profile label,area,second moment of area
P0150,0.0014066481106448307,1.566733457186909e-05
P0170,0.0018067613510060374,2.5847929891892957e-05
P0200,0.002500707752257491,4.951651420245024e-05
P0230,0.003307186002360506,8.660469281829901e-05
P0260,0.004226196101315125,0.00014142411621361758
P0300,0.005626592442579323,0.00025067735314990546
P0340,0.00722704540402415,0.0004135668782702873
P0390,0.009508941227959054,0.0007159595883314461
P0450,0.012659832995803465,0.0012690541003213909
P0510,0.01626085215905412,0.0020936823212433092
P0590,0.021762409214020766,0.0037500592378294914
P0670,0.02806419274970976,0.006236332932448753
P0770,0.0370667406578364,0.010879100337098876
P0880,0.04841370208370495,0.018559264881614728
P1000,0.06251769380643697,0.030947821376531463
P1200,0.09002547908126916,0.0641734024063758
P1300,0.10565490253287753,0.08839007263351083
P1500,0.14066481106448162,0.15667334571868913
P1700,0.1806761351006008,0.2584792989189262
P2000,0.2500707752257479,0.4951651420245034
